	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	Kingdom	Phylum	Class	Order	Family	Genus	Species
seq29	0	0	23304	0	0	0	0	0	43	0	0	0	0	0	0	13406	0	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Saccharopolyspora	rectivirgula
seq30	0	0	17199	0	17791	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	thermoruber
seq31	0	12562	0	14813	0	0	1797	0	0	3410	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Pseudogracilibacillus	
seq32	0	0	5999	0	0	0	0	0	0	0	0	0	0	0	0	26166	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Caldibacillus	debilis
seq33	2989	0	13803	0	14203	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Enteractinococcus	
seq34	0	0	0	0	0	0	0	24493	0	0	0	0	0	0	0	6316	0	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	thermoruber
seq35	0	0	0	0	0	0	1664	0	396	0	0	0	0	0	0	27359	0	Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae	Novibacillus	thermophilus
seq36	0	0	0	15297	0	0	9814	0	0	3773	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium_1	urealyticum
seq37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28479	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	
seq38	0	0	9872	0	10374	0	0	0	0	0	0	0	0	0	7815	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Oceanobacillus	caeni
seq39	6648	0	0	0	0	19038	0	0	0	0	0	0	0	0	0	2006	0	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae		
seq40	1315	9340	0	11994	0	0	0	337	0	2432	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Cerasibacillus	quisquiliarum
seq41	3287	4140	0	4783	0	0	1365	0	0	5365	0	0	0	0	6357	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae		
seq42	24574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Lentibacillus	
seq43	0	0	5608	0	0	0	0	0	0	128	0	0	0	0	0	18768	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Caldibacillus	
seq44	0	0	11605	0	12089	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae	Planifilum	composti
seq45	0	0	0	0	0	0	22299	0	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium_1	amycolatum
